cate,name
农副产品,肉蛋奶
农副产品,火腿制品
中草药材,银耳
水果,含羞果
畜牧水产,甲鱼苗
粮油米面,猪油
农副产品,米线
畜牧水产,三文鱼
蔬菜,平菇
农副产品,普洱茶
中草药材,通草1
水果,车厘子
蔬菜,叶菜类
中草药材,牛黄
农副产品,毛尖
蔬菜,刀豆
粮油米面,黄米面
蔬菜,佛手瓜
粮油米面,紫米
农副产品,麻子
蔬菜,油菜
粮油米面,大豆
畜牧水产,螃蟹
中草药材,广枣
蔬菜,海鲜菇
农副产品,休闲速食品
中草药材,莪术
中草药材,竹黄
水果,哈密瓜
粮油米面,花生油
中草药材,何首乌
农副产品,杏核
农副产品,湄潭翠芽
粮油米面,调和油
蔬菜,草菇
粮油米面,米粉
畜牧水产,黄花鱼
中草药材,桑叶
蔬菜,生菜
畜牧水产,宠物用品
中草药材,益母草
蔬菜,樱桃番茄;圣女果
畜牧水产,鸡苗
水果,罗汉果
蔬菜,腌菜
畜牧水产,鲳鱼
水果,杨梅
中草药材,豆蔻
中草药材,石斛
畜牧水产,香猪
水果,无花果
中草药材,叶类
畜牧水产,小丑鱼
蔬菜,蒜苔
农副产品,兔肉
中草药材,龙齿
中草药材,白术
蔬菜,茨菰
蔬菜,萝卜
畜牧水产,财神鱼
粮油米面,麦仁米
粮油米面,调味料
中草药材,动物提取物
粮油米面,干豌豆
蔬菜,土豆;马铃薯
粮油米面,黄芥油
水果,树葡萄
畜牧水产,兔子
蔬菜,大蒜
畜牧水产,乌骨鸡
农副产品,鹅副产品
蔬菜,大白菜
蔬菜,儿菜
农副产品,羊副产品
农副产品,保健茶
水果,余甘果
蔬菜,毛豆
农副产品,桃核
粮油米面,鸡精
粮油米面,籼稻
农副产品,油菜籽
蔬菜,板薯
水果,沙果
中草药材,麦芽
中草药材,人参
畜牧水产,对虾
粮油米面,黍子
粮油米面,火锅料
农副产品,干木耳
中草药材,锦灯笼
水果,黑莓
中草药材,白芨
水果,姑娘果
蔬菜,瓠瓜
农副产品,腊制品
农副产品,猪肉
农副产品,鸭副产品
中草药材,根茎类
中草药材,夏枯草
粮油米面,花椒
农副产品,脱水蔬菜
中草药材,三七
水果,人心果
水果,枇杷
粮油米面,八角
中草药材,附子
水果,蛋黄果
畜牧水产,鲢鱼
农副产品,鹅蛋
蔬菜,南瓜
农副产品,咖啡
中草药材,远志
粮油米面,赤小豆
中草药材,穿心莲
蔬菜,大球盖菇
水果,黑老虎
粮油米面,花生
农副产品,红薯粉
中草药材,云母
中草药材,百合
蔬菜,鲜芡实
中草药材,桄榔子;追风果
农副产品,瓜子
水果,羊奶果
水果,海红果
水果,火参果
水果,马蹄
粮油米面,砂仁果
中草药材,枳壳
中草药材,苍术
水果,蓝靛果
水果,蓝莓
蔬菜,菜苔
水果,刺角瓜
中草药材,重楼
蔬菜,根茎菜类
蔬菜,苋菜
水果,黄桃
蔬菜,扁豆
粮油米面,糜子
农副产品,黑茶
中草药材,白芷
农副产品,冰粉籽
畜牧水产,鳖
农副产品,芝麻酱
蔬菜,飞碟瓜
畜牧水产,蚕
蔬菜,猪毛菜
中草药材,淡豆豉
畜牧水产,鲤鱼
水果,火龙果
农副产品,蜜饯果脯
中草药材,诃子
水果,苹果
畜牧水产,翻车鱼
农副产品,榛子
畜牧水产,兔
农副产品,鲜鸭蛋
农副产品,经济作物
农副产品,饼干糕点
粮油米面,牡丹籽油
中草药材,槟榔干
蔬菜,豆菜类
蔬菜,芥蓝
畜牧水产,角鳖苗
粮油米面,蚝油
农副产品,油茶
中草药材,构骨
粮油米面,咸菜酱菜
